title,description,main_img,list_price,price,discount,image1,image2,image3,image4,Net Quantity,Manufacturer,ASIN,Item Weight,Item Dimensions,Item model number,Country of Origin,Manufacturer Address
"Zandu Pancharishta 450ml, Ayurvedic Tonic, Relief from disgetive problems like Acidity, Constipation and Gas, boosts digestive immunity","Made with 35 ayurvedic ingredients like Lavang, Triphala, Ajwain, Draksha, Ghrit Kumari etc.
Digestive elixir helps in improving Digestive health and increases Appetite
Draksha acts as an antacid while ajwain provides relief from gastric disorders
Herbal formulation of Zandu Pancharishta helps in relief from acidity, gas, indigestion and constipation
Dosage - 30 ml of syrup with equal amount of water to be taken twice a day after meal",https://m.media-amazon.com/images/I/61J9gXM+qFL._SY450_.jpg,"₹121
00",121,-14%,https://m.media-amazon.com/images/I/4187jPMwsQL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/31yTikF-T+L._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/31upNbNPRkL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/31dW1I0C25L._AC_UF320320_SR320320_.jpg,450.0 millilitre,Emami Limited,B06X6BVYKX,450 g,7.5 x 3.1 x 7.5 Centimeters,8901248704014,India,Emami Limited
Vitro Naturals Constipation Relief Powder with Isabgol | Non Habit Forming 100% Safe Ayurvedic Laxative Powder- 250g,"Relieves gas and bloating
Herbal laxative
Suitable for chronic constipation
Consume 2-3 gm with warm water at bedtime for best results",https://m.media-amazon.com/images/I/71NG2yswujL._SY450_.jpg,"₹384
00",384,-30%,https://m.media-amazon.com/images/I/61ac4kWrnQL._SY450_.jpg,https://m.media-amazon.com/images/I/81DMADsuDLL._SY450_.jpg,https://m.media-amazon.com/images/I/61FiJAaCnPL._SY450_.jpg,https://m.media-amazon.com/images/I/71NG2yswujL._SY450_.jpg,250.0 gram,VITROMED HEALTHCARE,B0BMTXCPW9,260 g,15 x 6 x 23 Centimeters,,India,VITROMED HEALTHCARE
"Zandu Pancharishta Suitable for Diabetics | Ayurvedic Tonic for Digestion, Acidity, Constipation and Gas Relief, Helps Improve Digestive Immunity, Sugarfree 450ml","Made with 35 ayurvedic ingredients like Lavang, Triphala, Ajwain, Draksha, Ghrit Kumari etc
Sugarfree Digestive elixir helps in improving Digestive health and increases Appetite
Draksha acts as an antacid while ajwain provides relief from gastric disorders
Herbal formulation of Zandu Pancharishta suitable for Diabetics helps in relief from acidity, gas, indigestion and constipation
Dosage - 30 ml of syrup with equal amount of water to be taken twice a day after meal",https://m.media-amazon.com/images/I/61ygSZYZAZL._SX425_.jpg,"₹142
00",142,-11%,https://m.media-amazon.com/images/I/713BFnvgRZL._SX425_.jpg,https://m.media-amazon.com/images/I/71+NoDIJysL._SX425_.jpg,https://m.media-amazon.com/images/I/61gO1-h19UL._SX425_.jpg,https://m.media-amazon.com/images/I/71D0My7qlzL._SX425_.jpg,1 count,Emami Limited,B07DSXK3KL,,7.5 x 7.5 x 18.7 Centimeters,8901248704083,,Emami Limited
Charak Dipya Syrup - Ayurvedic Digestive Care Syrup | Syrup For Digestion Acidity Gas and Bloating (200 ml (Pack of 1)),"Complete Digestive Care
Helps reduce acidity & relieve Constipation
Aids in digestion of heavy foods & absorption of nutrients
Supports gut health and improves digestion
Helps improve natural digestive enzymes secretion",https://m.media-amazon.com/images/I/51rcwFQNBuL._SY450_.jpg,₹89.00,,N/A,https://m.media-amazon.com/images/I/61RWyDCNV4L._SY450_.jpg,https://m.media-amazon.com/images/I/61hPaQWeuAL._SY450_.jpg,https://m.media-amazon.com/images/I/61dtqnKYl-L._SY450_.jpg,https://m.media-amazon.com/images/I/51B6SJ3MZjL._SY450_.jpg,1.00 count,Charak Pharma Pvt Ltd,B09J17KXL6,250 g,5.5 x 5.5 x 13.5 Centimeters,,India,Charak Pharma Pvt Ltd
ORGANIC INDIA Bowelcare Relieves Constipation & Irritable Bowel Syndrome Ayurvedic Capsules || Improves Peristalsis || Normalizes Digestion & Elimination || Improves Peristalsis - 180 Veg Capsules,"Relieves chronic and occasional constipation, cures irritable bowel syndrome (ibs), corrects irregular evacuation
Normalizes digestion and elimination, improves peristalsis
Relief in constipation, stomach pain, colitis, indigestion, hyperacidity, giardiasis, inflammation, diarrhea, dystentary, piles",https://m.media-amazon.com/images/I/61hXqVmVlwL._SY450_.jpg,"₹637
00",637,-2%,https://m.media-amazon.com/images/I/41To0hP3jBL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41U5xFgwRAL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41GDVYYV41L._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41mikusZ1hL._AC_UF320320_SR320320_.jpg,180 count,Organic India Private Limited,B081RXWHT1,250 g,6.5 x 6.5 x 11.9 Centimeters,801541516001,India,Organic India Private Limited
"Nutrafirst Digestion Capsules 500mg with Ayurvedic Herbs for Better Digestion - 60 Capsules, Pack of 1","60 Capsules: 60 vegetarian capsules suitable for men and women to support the body’s digestive function.
Ingredients: A completely natural composition enriched with fennel seeds, ginger root, licorice root, and peppermint.
Support Digestive Health – These digestion capsules are helpful against indigestion. Ginger root and kennel seeds in their composition help regulating bowel movement effectively and remove toxins from the body.
Enhance Nutrient Absorption – As you age, your body loses its ability to absorb nutrients. These digestion capsules effectively bring digestive enzymes into action & help the body absorb micronutrients.
Nutrafirst: We’re a fast-growing nutraceutical brand committed to make people healthy. All our products meet international safety standards and combine the best of nature & science.",https://m.media-amazon.com/images/I/41r8VdJHQ2L._SY300_SX300_.jpg,"₹287
00",287,-85%,https://m.media-amazon.com/images/I/31upNbNPRkL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41mikusZ1hL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/31UPt0ZPv1L._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41486OYMMpL._AC_UF320320_SR320320_.jpg,60.00 count,Magic of Herbs (Ayurvedic Div.),B08519VV7S,50 g,50 x 50 x 90 Millimeters,,India,Magic of Herbs (Ayurvedic Div.)
"Simply Herbal Ayurvedic Digestive Elixir Syrup Tonic Enriched With 37 Digestion Enzymes Supplement for Gas & Acidity, Constipation, Bloating, and Improve Immune System - Pack of 1 (450ml each)","WHY IT IS NECESSARY FOR YOUR GUT HEALTH? – Simply Herbal Digestive enzymes are natural substances needed by the body to help break down and digest food. It is used when the pancreas cannot make or does not release enough digestive enzymes into the gut to digest the food.
CONTAINS 37 NATURAL AYURVEDIC HERBS FOR IMPROVED DIEGSTION – Powerful combination of Ayurveda Supplement Enzyme mainly consists of ALOVERA, GILOY, DALCHINI (Cinamon), HALDI(Turmeric), KAUCHBHEEJ (Fenugreek Seed), Black Cardamom and many more. Please check detailed ingredient list on the bottle label Images.
ONE STOP SOLUTION FOR YOUR HEALTHY HAPPY STOMACH!! – It acts on the entire digestive system, building digestive immunity and help reducing the recurrence of digestive problems like indigestion, gas, |flatulence|, |acidity|, |bloating| and stomach heaviness. it also helps in increasing appetite and boosting your digestive immunity. A trusted herbal tonic for long lasting relief.
100% NATURAL & AYURVEDIC: 100% Ayurvedic Product, All-Natural Healer With No Side Effects! This Product Is Appreciated For the Hygienic Formulation, Long Shelf Life, Airtight Packing, and With High Efficacy. Pure Vegetarian & Safe for Everyday Consumption.
DOSAGE – Bottle contains 450ML of Digestive Liquid Syrup, ½-1 Teaspoon 2 times a day for children and 1-2 Teaspoon 2 times a day for adults without any dilution, you have to take directly after the meals. Natural Ayurvedic formulation without any kind of side effects.",https://m.media-amazon.com/images/I/81gj-x3xxwL._SY450_.jpg,₹386.00,,N/A,https://m.media-amazon.com/images/I/61HZGLa267L._CR020412241224_UX175.jpg,https://m.media-amazon.com/images/I/612RZ1D1UgL._CR020412241224_UX175.jpg,https://m.media-amazon.com/images/I/815wC8jAgpL._CR020412241224_UX175.jpg,https://m.media-amazon.com/images/I/61j7HzGXnhL._CR020412241224_UX175.jpg,450.0 millilitre,Soulager Healthcare,B09QXBB2VS,560 g,16 x 7 x 7 Centimeters,,India,Soulager Healthcare
"Matsya Veda Digestion Pro Ayurvedic Supplement for Digestion, Acidity, Constipation & Gas- 60 Capsules","Dosage- Take 1-2 capsules twice a day with warm water, 30 minutes after Breakfast & Dinner. Exercise regularly, maintain healthy weight, avoid fried and processed food.",https://m.media-amazon.com/images/I/710eBFjgCXL._SY450_.jpg,₹549.00,,N/A,https://m.media-amazon.com/images/I/31upNbNPRkL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41mikusZ1hL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/51KkFgS3ZeL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41gTBE8+hjL._AC_UF320320_SR320320_.jpg,60 count,"UK HERBS, Matsya Veda Herbals LLP, 34 Mohammadpur, Bhikaji Cama Place, Delhi-110066, Helpline- +919999404323",B071JRWY7X,90 g,,,India,"UK HERBS, Matsya Veda Herbals LLP, 34 Mohammadpur, Bhikaji Cama Place, Delhi-110066, Helpline- +919999404323"
BANSIWALA Ayurvedic Swadisht Pachak Chatpata Churan for family | Khatta Meetha Mouth Freshener Mukhwas Tasty Peppery Powder for Gas Acidity Heartburn Bloating Vomit Feeling Stomach Heaviness Relief | Food Digestive Digestion Churan - 500 gm,"IMPROVES DIGESTION: Bansiwala Pachak Churna contains natural ingredients may helps to provide you immediate as well as long-term relief from gastric issues. It may effectively regulates the digestive process thereby providing relief from gas, acidity, and bloating.
FOOD DIGESTIVE CHURAN : Bansiwala Pachak Churna may promotes digestion of foods, it's digestive enzymes are use to digest foods. If you are feeling heavyness after eation food, it may help you from get over the heavyness or stomach pain.
AYURVEDIC HERBS & SPICES: Bansiwala Pachak Churna is an effective formulation combining potent Ayurvedic herbs and spices that helps in stimulating the digestive process and easing abdominal discomfort. It combines the goodness of natural ingredients like Saunf, Safed Jeera, Dhaniya, Pudina, and Saunth.
RID YOURSELF OF GASTRIC TROUBLES: Say bye-bye to acidity, indigestion, bloating and other gastric disorders with Bansiwala Pachak Churna. The authentic Ayurvedic ingredients ensures that toxins and wastes are eliminated from the stomach and stimulate the secretion of the necessary digestive enzymes.
WHY YOU NEED IT: Bansiwala Pachak Churna helps in flatulence, gas formation, sour belching, burning in the chest, indigestion, constipation etc. This churan can be eaten by a person of all ages, whether it is a child or an elder. This churan is completely Ayurvedic which is recognized by AYUSH India",https://m.media-amazon.com/images/I/61hjdPe3FXL._SY450_.jpg,"₹485
00",485,-12%,https://m.media-amazon.com/images/I/31upNbNPRkL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41mikusZ1hL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41U5xFgwRAL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/51Evq8cTTRL._AC_UF320320_SR320320_.jpg,500.0 gram,BANSIWALA KHADI GRAM UDYOG HERBAL PRODUCTS,B0B184T4R9,510 g,11 x 11 x 11 Centimeters,,India,BANSIWALA KHADI GRAM UDYOG HERBAL PRODUCTS
"Khana Hazam Churan - 100% Ayurvedic Medicine for Digestion, Acidity, Constipation and Gas Relief","Include- Ajmod,Chavya,amal bait. vaayu Khumma, Saunf, Podina, Heing,Sanaay, Vaay Virang,Marorfali, and Sat Podina
Dosage: 3-5 gm dose twice a day, with luke warm water or water.",https://m.media-amazon.com/images/I/81pBXWMoLVL._SX466_.jpg,"₹120
00",120,N/A,https://m.media-amazon.com/images/I/31upNbNPRkL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41mikusZ1hL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/41U5xFgwRAL._AC_UF320320_SR320320_.jpg,https://m.media-amazon.com/images/I/31dW1I0C25L._AC_UF320320_SR320320_.jpg,100.0 gram,RK Jain Pharmacy,B0BCX69DFW,120 g,7.6 x 7.6 x 17.8 Centimeters,,India,RK Jain Pharmacy
