url,title,Is Discontinued By Manufacturer,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Item Weight,Item Dimensions LxWxH,Net Quantity,main_img,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,list_price,price,discount,description
https://www.amazon.in/Glow-Lovely-Natural-Cream-Ayurvedic/dp/B08H2YZMBG/ref=sr_1_5?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-5,Glow & Lovely Natural Face Cream Ayurvedic Care+ 50 g,,4.8 x 3 x 14.3 cm; 50 Grams,31 August 2020,"Hindustan Unilever Limited, Hindustan Unilever Ltd., Personal Products Factory, Dag No. 8,9,10,12,13,23,24,44,45 & 47 Of 122, F.S Grant, Mouza-Tingrai, Doomdooma Industrial Estate, Off Nh 37, Dist - Tinsukia, Assam - 786 151.",B08H2YZMBG,12004,India,50 g,48 x 30 x 143 Millimeters,50.0 gram,https://m.media-amazon.com/images/I/51phxE4q-sL._SY355_.jpg,https://m.media-amazon.com/images/I/C1VOJjpS-QS._CR500030003000_UX175.jpg,https://m.media-amazon.com/images/I/C1HnzJJRtSS._CR500030003000_UX175.jpg,,,,,,,,,"₹154
00",154,N/A,"Glow & Lovely Ayurvedic Care + Face cream, formerly known as Fair & Lovely, is a daily moisturiser powered by 16 ingredients to give you a natural glow
It has the goodness of Milk, Chandan and Wheatgerm oil that clears uneven skin tone
Manjistha, Kesar and Lotus clears marks and improves glow
Lodhra, Khas and Neelotpal calms and soothes the skin
Dermatologically tested, does not contain any bleaching agents and is safe to use daily
This is not just a cream, it is an Ayurvedic glow expert"
https://www.amazon.in/Vedix-Customized-Skin-Care-Sensitive/dp/B097MMV3VT/ref=sr_1_6?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-6,"Vedix Ayurvedic Anti Tan Skin Care Kit for Sensitive Skin, Customized Skin Care (Pack of 3) with Face Wash/Cleanser 100ml + Face Serum 20ml + Moisturizer/Face Cream 40ml For Women & Men",,,18 June 2021,Vedix,B097MMV3VT,,India,420 g,,160.0 millilitre,"https://m.media-amazon.com/images/I/614cTHr93jS._SY355_PIbundle-3,TopRight,0,0_AA355SH20_.jpg",https://m.media-amazon.com/images/I/61qjTVV8tFS._SY355_.jpg,https://m.media-amazon.com/images/I/61VSvu5f4-S._SY355_.jpg,https://m.media-amazon.com/images/I/618MIUTYFNS._SY355_.jpg,https://m.media-amazon.com/images/I/610E8dJ45NS._SX355_.jpg,,,,,,,"₹1,099.00",,N/A,"CUSTOMIZED AYURVEDIC TAN FACIAL KIT FOR SENSITIVE SKIN: Safe and effective skin care Kit for sensitive skin with acne. Facial kit includes a set of 3 products - face cleanser, serum, and moisturizer.
AYURVEDIC FACE Wash: Customized for sensitive skin that gently cleanses and hydrates skin without stripping off its natural oils.
FACE SERUM FOR TANNED SKIN: This serum restores damage caused by suntan, protects skin from harmful UV rays, keeps skin hydrated and brightens uneven skin tone.
AYURVEDIC FACE MOISTURIZER: Customized to suit sensitive skin, the moisturiser soothes and softens skin, provides deep hydration and improves overall skin texture.
BACKED BY AYURVEDIC EXPERTS: Formulated by Ayurvedic Physicians with safe and effective herbal ingredients. Silicone, Paraben, and Sulphate Free formula. Customized products that are 100% safe and effective for your skin."
https://www.amazon.in/Vedix-Customized-Skin-Spots-Pigmentation/dp/B097MN4G8C/ref=sr_1_7?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-7,"Vedix Ayurvedic Dark Spots & Pigmentation Skin Care Kit for Oily Skin, Customized Skin Care (Pack of 3) with Face Wash/Cleanser 100ml + Face Serum 20ml + Moisturizer/Face Cream 40ml For Women & Men",,,18 June 2021,Vedix,B097MN4G8C,,India,420 g,,160.0 millilitre,https://m.media-amazon.com/images/I/61PM7xywiOS._SY355_.jpg,https://m.media-amazon.com/images/I/61PM7xywiOS._SY355_.jpg,https://m.media-amazon.com/images/I/61cIFxhGipS._SY355_.jpg,https://m.media-amazon.com/images/I/618MIUTYFNS._SY355_.jpg,https://m.media-amazon.com/images/I/61OklxYI5nS._SX355_.jpg,https://m.media-amazon.com/images/I/61sxbgz7v5S._SY355_.jpg,https://m.media-amazon.com/images/I/61LQbNGVTGS._SY355_.jpg,,,,,"₹1,099.00",,N/A,"AYURVEDIC REGIMEN FOR OILY SKIN WITH DARK SPOTS AND PIGMENTATION: Safe and effective skin care Kit for sensitive skin with acne. Facial kit includes a set of 3 products - face cleanser, serum, and moisturizer.
AYURVEDIC FACE WASH FOR THOROUGH CLEANSING: Customized for oily skin, gently cleanses dirt and excess oils from skin while regulating excess sebum production
FACE SERUM FOR DARK SPOTS: This serum helps fade pigmentation and dark spots to soothe acne and irritation. It also lessens the appearance of uneven, hyperpigmented areas while improving uneven skin tone.
NON-GREASY AYURVEDIC FACE MOISTURIZER: Customized to suit oily skin, the non-greasy oil-free formula maintains sufficient moisture and regulates excess sebum.
BACKED BY AYURVEDIC EXPERTS: Formulated by Ayurvedic Physicians with safe and effective herbal ingredients. Silicone, Paraben, and Sulphate Free formula. Customized products that are 100% safe and effective for your skin."
https://www.amazon.in/Blue-Nectar-Vitamin-Hyaluronic-Glowing/dp/B08LVT5MTL/ref=sr_1_8?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-8,"Blue Nectar Ayurvedic Vitamin C Face Serum for Glowing Skin | 100% Natural Hyaluronic Acid Serum (9 Herbs, 30 Ml)",,4 x 4 x 6 cm; 28.35 Grams,26 October 2020,"FCSBRS030HAC, Sanjivan Anusandhan Pvt. Ltd.",B08LVT5MTL,FCSBRS030HAC,India,28.3 g,40 x 40 x 60 Millimeters,30.0 millilitre,https://m.media-amazon.com/images/I/51qKSa9yXUL._SY355_.jpg,https://m.media-amazon.com/images/I/71nwbX8OROL._CR020412241224_UX175.jpg,https://m.media-amazon.com/images/I/81qk8atZCfL._CR020412241224_UX175.jpg,,,,,,,,,₹515.00,,N/A,"20X MORE VITAMIN C- This face serum harnesses the power of Amla Oil. Amla (Indian Gooseberry) has 20 times more Vitamin C as compared to an orange thus making it perfect for dark spot reduction. Power of Amla in this serum helps fade dark spots within 30 days*
DARK SPOT REDUCTION- Dark spots occur due to aggravated Pitta Dosha i.e. increased heat in the body while Vitamin C acts as coolant and helps to balance Pitta Dosha and hence helps in fading dark spots. Amla is a storehouse of natural Vitamin C. It helps in dark spot reduction and redness, while strengthening the skins barrier.
INTENSE HYDRATION- Enriched with plant based Hyaluronic Acid, this Vitamin C serum for face instantly hydrates and plumps up the skin. Dehydrated skin is one of the main causes of wrinkles, this Hyaluronic Acid Serum replenishes lost moisture effectively reducing the appearance of fine lines. A natural hyaluronic acid moisturizer – your skin will thank you for that!
SKIN LOVING HERBS - Our face serum for women and men is gentle on skin as it is formulated with 9 skin rejuvenating herbs like Amalaki Oil, Wheat Germ Oil, Almond & Olive Oil, Sunflower Oil, Lemon-grass Oil, Sesame Oil, Vitamin E & Hyaluronic Acid (Plant Based). This concoction of all natural ingredients if effective for a natural skin glow and a youthful appearance of your skin.
FAST ABSORBING, LIGHT & NON- GREASY- The light-weight formula of this Vit C serum for face absorbs quickly into the skin, making the skin look radiant and plump instantly. This Vitamin C face serum for glowing skin is proven safe for all skin types i.e., Oily skin, normal skin, dry skin & sensitive skin. It is great for use as daily face serum for men and women both."
https://www.amazon.in/Ayurvedic-Enriched-thickening-ingredients-Nourishing/dp/B09GYM9RPZ/ref=sr_1_10?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-10,"Veda5 Ayurvedic Moor & Seaweed Face Pack Powder (Enriched with Lemon) | For Face Mask, Skincare, Hair care, Reduces Wrinkles & signs of aging; Promotes Hair thickening | 100% natural ingredients | Hydrates & Nourishing, 100g - Himalayan Naturals",,8 x 2 x 8 cm; 100 Grams,30 September 2021,"Veda5 Wellness (Pharmacy Div) P.O Maral, Pauri Garhwal, Uttarakhand, info@veda5naturals.com",B09GYM9RPZ,,India,100 g,8 x 2 x 8 Centimeters,100.0 gram,https://m.media-amazon.com/images/I/511IFoEjnYL._SY355_.jpg,https://m.media-amazon.com/images/I/511IFoEjnYL._SY355_.jpg,https://m.media-amazon.com/images/I/61PKNQKPpmL._SY355_.jpg,https://m.media-amazon.com/images/I/61vBEUohxKL._SY355_.jpg,https://m.media-amazon.com/images/I/51+QPxS+OFL._SY355_.jpg,https://m.media-amazon.com/images/I/61dFv59CMbL._SY355_.jpg,https://m.media-amazon.com/images/I/61mADlTAUbL._SY355_.jpg,,,,,"₹360
00",360,-10%,"The Veda5 Ayurvedic Moor & Seaweed Powder (Enriched with Lemon) Powder Face Mask deeply cleanses the skin and provides your skin a healthy shine.
In addition, it helps in cleansing your skin, getting rid of dead skin cells, absorbing excess oil and extracts toxins and impurities located deep in the skin layers.
100% certified: made in India at our GMP (good manufacturing practices) certified facility. There are no chemical preservatives, and the product is gmo and cruelty-free.
To use, combine Veda5 Ayurvedic Moor & Seaweed Powder (Enriched with Lemon) Powder in a dish. Slowly pour in the water and thoroughly mix it up. Make a paste that is not too thick, not too watery, and not too lumpy. The consistency should be sufficient to spread smoothly across your skin. Apply this paste to your skin and let it on for 15-20 minutes, or until it dries. Once the mask has dried, rinse it off with lukewarm water."
https://www.amazon.in/Ayushoppee-Anti-Ageing-Pigmentation-Sandalwood-Niacinamide/dp/B0B6RS1N87/ref=sr_1_11?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-11,"Ayushoppee Ayurvedic Kumkumadi Chandan Glowing Face, Anti-Ageing, and Pigmentation with Saffron and Red Sandalwood Tailam Face Serum with Niacinamide and Vitamin C & Vitamin B3 - Women and Men, 30 ml",,9.5 x 3.8 x 3.8 cm; 90 Grams,16 July 2022,"Ocean Biocare Pharmaceuticals, Ocean Biocare Pharmaceuticals, 4, Fajilpur, Gurugram, Haryana, India 122101",B0B6RS1N87,,India,90 g,9.5 x 3.8 x 3.8 Centimeters,30.0 millilitre,https://m.media-amazon.com/images/I/41-bUlFDhSL._SY550_.jpg,https://m.media-amazon.com/images/I/51RnoU2Pb2L._SY355_.jpg,https://m.media-amazon.com/images/I/61tMqY4lbUL._SY355_.jpg,https://m.media-amazon.com/images/I/61QtdknP-oL._SY355_.jpg,https://m.media-amazon.com/images/I/51l2-u0DusL._SY355_.jpg,https://m.media-amazon.com/images/I/61pQvS9ysoL._SY355_.jpg,,,,,,"₹399
00",399,-33%,"PROMOTES COLLAGEN PRODUCTION
Brand : Ayushoppee
Scent Vitamin C,Chandan,Niacinamide"
https://www.amazon.in/Vedix-Customised-Ayurvedic-Yavishta-Bakuchiol/dp/B09XF7WYG4/ref=sr_1_12?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-12,"Vedix Face Serum, Customised Ayurvedic Yavishta Age Bloc Face Serum for Women, With Bakuchiol + HA + 24K Nano Gold - 30 ml",,10 x 10 x 10 cm; 90 Grams,7 April 2022,,B09XF7WYG4,,India,90 g,10 x 10 x 10 Centimeters,30.0 millilitre,https://m.media-amazon.com/images/I/61M4YL0ifxL._SY355_.jpg,https://m.media-amazon.com/images/I/61M4YL0ifxL._SY355_.jpg,https://m.media-amazon.com/images/I/617qfRpCinL._SY355_.jpg,https://m.media-amazon.com/images/I/61bMUozwskL._SY355_.jpg,https://m.media-amazon.com/images/I/615WTxlm6CL._SY355_.jpg,https://m.media-amazon.com/images/I/61v-lnIroLL._SY355_.jpg,https://m.media-amazon.com/images/I/61K1ZQlJvcL._SY355_.jpg,,,,,"₹429
00",429,-14%,"THE MAGIC OF NANO GOLD FOR SKIN: Gold is an element with strong antioxidant properties that help keep skin youthful and radiant
KEEP FINE LINES AT BAY: Bakuchiol, also known as a natural retinol alternative, is an excellent ingredient that keeps fine lines and wrinkles away.
DEEPLY HYDRATES DRY SKIN: Hyaluronic Acid draws water from the deep layers of skin and keeps the dry facial skin moisturized.
LIGHTWEIGHT & NON-GREASY: The serum feels light on the skin and is quickly absorbed into the skin, to start working wonders for your skin!
BACKED BY AYURVEDIC SKIN EXPERTS: 100% safe and effective customized Ayurvedic products formulated by Ayurvedic Doctors. Silicone, Paraben and Sulfate Free."
https://www.amazon.in/SBM-Civettina-Ayurvedic-Face-Pack/dp/B08F3N4PXC/ref=sr_1_13?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-13,SBM Ayur Civettina - Ayurvedic Face Pack 50g,,,1 August 2020,Sri Bhagavathy Madom Ayurveda Nikethanam,B08F3N4PXC,,India,80 g,,50.0 gram,https://m.media-amazon.com/images/I/61JZiYHL6VL._SY355_.jpg,https://m.media-amazon.com/images/I/91T3RzAmDqL._SY355_.jpg,https://m.media-amazon.com/images/I/81DLxnZLYbL._SY355_.jpg,https://m.media-amazon.com/images/I/61JZiYHL6VL._SY355_.jpg,https://m.media-amazon.com/images/I/71vNrXHff0L._SY355_.jpg,https://m.media-amazon.com/images/I/81ypHUCjDzL._SY355_.jpg,,,,,,₹306.00,,N/A,"PURPOSE : Use to improve skin problems like Pimples, Acne, Pigmentation, Wrinkles, Sun tanning, Freckles, Chickenpox scars.
INGREDIENTS : Ficus benghalensis, Pterocarpus santalinus, Symplocos racemosa, Rubia cordifolia, Red ochre, Portulaca oleracea.
BENEFITS : Suitable for all ages and all skin types. Made from pure & natural ingredients. Addresses all skin problems depending on the method of use. Free from chemicals usually added to give colour and fragrance to face pack.
USAGE : SBM Ayur CIVETTINA is a single solution addressing multiple skin problems depending on the mode of use. Mix one tablespoon of SBM Ayur CIVETTINA in the desired medium as listed below according to your specific requirements/ skin problems. Apply evenly on face and neck region. Leave it for 15 minutes and wash off with plain water.
Pimples, Wrinkles & Pigmentation : Potato juice/ Tomato juice/ Sour buttermilk/ for better results in your own first urine of the day collected at 4.30 am in morning. Oily Skin : Tomato juice/ Potato juice/ Cucumber juice/ Buttermilk/ Plain water. Dry Skin : Curd/ Milk/ Honey/ Milk + Honey (1: 1). Normal Skin : Honey & Lemon/ Buttermilk/ Coconut milk/ Tomato juice/ Cucumber juice/ Curd/ Plain water.
DURATION : Daily usage is recommended."
https://www.amazon.in/Blue-Nectar-Ayurvedic-Saffron-Sandalwood/dp/B0743BBC8K/ref=sr_1_14?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-14,"Blue Nectar Ayurvedic Anti Aging Cream For Women For Collagen Boost And Deep Moisturizer For Face | Naturally Skin Firming Face Cream (14 Herbs, 50G)",No,7.5 x 7.5 x 7.5 cm; 50 Grams,19 July 2017,"Sanjivan Anusandhan Pvt Ltd, Sanjivan Anusandhan Pvt Ltd, 1880,HSIIDC,Sonepat,Haryana",B0743BBC8K,FCSAAC050SSW,India,50 g,7.5 x 7.5 x 7.5 Centimeters,50 gram,https://m.media-amazon.com/images/I/51Uzh9NEsqL._SY355_.jpg,https://m.media-amazon.com/images/I/51-E9s4EfqL._SY355_.jpg,https://m.media-amazon.com/images/I/61P00djajRL._SY355_.jpg,https://m.media-amazon.com/images/I/51UkOQPUyUL._SY355_.jpg,https://m.media-amazon.com/images/I/61gga93Vp0L._SY355_.jpg,https://m.media-amazon.com/images/I/51Uzh9NEsqL._SY355_.jpg,https://m.media-amazon.com/images/I/51Y33lo11-L._SY355_.jpg,,,,,₹820.00,,N/A,"NATURAL COLLAGEN BOOSTER- Saffron in combination with Natural Vitamin C help boost collagen levels naturally whilst plumping and hydrating the skin. This moisturizer for face is infused with Indian Madder, a natural astringent, that helps in skin firming.
ANTI- AGING CREAM FOR WOMEN - This collagen cream offers a blend of skin rejuvenating herbs that help smoothen the appearance of wrinkles and fine lines while restoring skin's youthful plumpness. Cedarwood Oil balances Vata and Kapha properties, providing nourishment and moisturization to the skin.
DAILY USE DAY & NIGHT FACE CREAM – A versatile daily use cream that can be used as a day cream or as a night cream, making your skin feel smoother, supple, and softer. Powered with rejuvenating herbs like Cedarwood, Almond Extract, Liquorice etc this face cream for women helps replenish moisture and restores skin elasticity.
REFINES FINE LINES & WRINKLES- This wrinkle lift anti-ageing cream helps in retaining skin firmness by refining the fine lines and wrinkles. It replenishes your skin with collagen and essential moisture for a fuller appearance of skin.
DEEP HYDRATION- The face cream contains an exceptional concoction of exotic oils like Sandalwood Oil, Almond Oil, & Wheat Germ Oil to provide extra nourishment. This powerful blend of natural ingredients in this face moisturizer is effective for a natural skin glow and a youthful appearance of your skin.
SKIN LOVING INGREDIENTS – The face moisturizer for women is gentle on skin, great for daily use, formulated with 13 skin rejuvenating herbs like Aloe Vera, Sandalwood Oil, Turmeric, Indian Madder, Almond Oil for skin and Sesame Oil etc. An ideal face massage cream that strengthens the moisture barrier and hydrates the skin without clogging pores.
FAST ABSORBING, LIGHT & NON- GREASY- The light-weight formula of this face cream for women absorbs quickly into the skin, leaving it hydrated & supple with a brighter complexion. Suitable face cream for oily skin, dry skin & combination skin type. No Parabens. No Sulphates. No Mineral Oil. No Animal Testing."
https://www.amazon.in/KUMKUMADI-BRIGHTENING-AYURVEDIC-FACE-SCRUB/dp/B08Y6Q7MLY/ref=sr_1_15?crid=XLNL99H54D83&keywords=ayurvedic+face+care&qid=1677937380&sprefix=ayurvedic+face+car%2Caps%2C969&sr=8-15,KUMKUMADI BRIGHTENING AYURVEDIC FACE SCRUB | Pigmentation and tightens pores | 100g,,,6 March 2021,Mana Ayurvedam,B08Y6Q7MLY,,India,100 g,,100.0 gram,https://m.media-amazon.com/images/I/71mbtPRTDuL._SY355_.jpg,https://m.media-amazon.com/images/I/71ODgGNKGDL._SY355_.jpg,https://m.media-amazon.com/images/I/71mbtPRTDuL._SY355_.jpg,https://m.media-amazon.com/images/I/81XrhMsM9TL._SY355_.jpg,https://m.media-amazon.com/images/I/71dAhDaceLL._SY355_.jpg,https://m.media-amazon.com/images/I/91JmGdDMuNL._SY355_.jpg,,,,,,"₹895
00",895,N/A,"Removes dead skin cells.
Illuminates complexion, smooth fine lines.
Minimise fine lines and signs of aging.
Lightens pigmentation, dark spots and marks.
Moisturises & Smoothen."
